feature_id,point_id,x,y
0,0,0.6796875,0.5651041666666666
0,1,0.6744791666666666,0.5807291666666666
0,2,0.6692708333333334,0.5690104166666666
0,3,0.6393229166666666,0.5638020833333334
0,4,0.5885416666666666,0.5885416666666666
0,5,0.5299479166666666,0.5651041666666666
0,6,0.5247395833333334,0.578125
0,7,0.578125,0.66015625
0,8,0.6080729166666666,0.67578125
0,9,0.6627604166666666,0.671875
0,10,0.6705729166666666,0.6575520833333334
0,11,0.6614583333333334,0.6028645833333334
0,12,0.6653645833333334,0.58203125
0,13,0.6783854166666666,0.5833333333333334
1,0,0.4921875,0.4921875
1,1,0.5104166666666666,0.4934895833333333
1,2,0.5182291666666666,0.4908854166666667
1,3,0.5377604166666666,0.4765625
1,4,0.54296875,0.46875
1,5,0.5208333333333334,0.4830729166666667
1,6,0.51953125,0.4765625
1,7,0.51171875,0.4765625
1,8,0.5130208333333334,0.4830729166666667
1,9,0.51953125,0.484375
1,10,0.50390625,0.4908854166666667
1,11,0.49609375,0.4869791666666667
1,12,0.5091145833333334,0.4713541666666667
1,13,0.5143229166666666,0.4700520833333333
1,14,0.5143229166666666,0.4674479166666667
1,15,0.5078125,0.4674479166666667
1,16,0.4973958333333333,0.4765625
2,0,0.65625,0.4596354166666667
2,1,0.6484375,0.4674479166666667
2,2,0.6627604166666666,0.4791666666666667
2,3,0.609375,0.4856770833333333
2,4,0.5950520833333334,0.5182291666666666
2,5,0.609375,0.53125
2,6,0.5989583333333334,0.50390625
2,7,0.62109375,0.484375
2,8,0.6692708333333334,0.484375
2,9,0.63671875,0.4934895833333333
2,10,0.6861979166666666,0.5052083333333334
2,11,0.6848958333333334,0.51953125
2,12,0.6588541666666666,0.5104166666666666
2,13,0.6640625,0.52734375
2,14,0.6809895833333334,0.5286458333333334
2,15,0.6640625,0.5572916666666666
2,16,0.6901041666666666,0.5078125
3,0,0.73828125,0.4739583333333333
3,1,0.71484375,0.44140625
3,2,0.66796875,0.4479166666666667
3,3,0.60546875,0.4114583333333333
3,4,0.5013020833333334,0.4127604166666667
3,5,0.3854166666666667,0.4830729166666667
3,6,0.3098958333333333,0.4778645833333333
3,7,0.2864583333333333,0.5182291666666666
3,8,0.33203125,0.5768229166666666
3,9,0.3229166666666667,0.6041666666666666
3,10,0.3346354166666667,0.5729166666666666
3,11,0.2890625,0.515625
3,12,0.31640625,0.4791666666666667
3,13,0.3919270833333333,0.484375
3,14,0.50390625,0.4153645833333333
3,15,0.7083333333333334,0.4427083333333333
3,16,0.7356770833333334,0.4765625
3,17,0.7421875,0.64453125
